number,created,ageDays,user,labels,title,url,comments,bucket,difficulty
1050,2023-11-13,982,yalcindogan,"","Bytecode service retrieved too early",https://github.com/glowroot/glowroot/issues/1050,0,mid,hard
1049,2023-11-13,982,dmorais895,"","Synthetic monitor not working.",https://github.com/glowroot/glowroot/issues/1049,0,mid,medium
1044,2023-10-13,1013,soundarrajan-r-10017,"","Elastic search plugin stacktrace logging not wokring when we reconfigure",https://github.com/glowroot/glowroot/issues/1044,0,mid,medium
1039,2023-09-05,1052,tellmewhattodo,"","About heap collection",https://github.com/glowroot/glowroot/issues/1039,1,mid,medium
1036,2023-08-22,1065,chjourdain,"","Transaction aggregations and Error rate on rollup are not calculated since 0.14",https://github.com/glowroot/glowroot/issues/1036,12,mid,medium
1035,2023-08-18,1069,farukomerballi,"","Not storing a gauge collection because of an excessive backlog of 60 gauge collections already waiting to be stored",https://github.com/glowroot/glowroot/issues/1035,2,mid,medium
1032,2023-08-04,1083,rvjansen,"","glowroot changes serialVersionUID?",https://github.com/glowroot/glowroot/issues/1032,0,mid,hard
1029,2023-08-01,1086,alessio-roselli-dedalus,"","Missing glowroot-agent-api 0.14.0 in maven central repository",https://github.com/glowroot/glowroot/issues/1029,1,mid,medium
634,2019-09-16,2502,tbarnier,"","Issue with scala, jetty, and serialVersionUID",https://github.com/glowroot/glowroot/issues/634,1,stale,hard
592,2019-05-23,2617,lfen21,"","Application outofmemory with endless threads",https://github.com/glowroot/glowroot/issues/592,3,stale,hard
